"Aloiz, Vladislav","http://imslp.org /wiki/Category:Aloiz,_Vladislav"
"Alpaerts, Flor","http://imslp.org /wiki/Category:Alpaerts,_Flor"
"Alphonse, Maxime","http://imslp.org /wiki/Category:Alphonse,_Maxime"
"Alsuyet, Claudio","http://imslp.org /wiki/Category:Alsuyet,_Claudio"
"Altenburg, Johann Ernst","http://imslp.org /wiki/Category:Altenburg,_Johann_Ernst"
"Altenburg, Michael","http://imslp.org /wiki/Category:Altenburg,_Michael"
"Altès, Ernest Eugène","http://imslp.org /wiki/Category:Alt%C3%A8s,_Ernest_Eug%C3%A8ne"
"Altnikol, Johann Christoph","http://imslp.org /wiki/Category:Altnikol,_Johann_Christoph"
"Álvarez, Carlos","http://imslp.org /wiki/Category:%C3%81lvarez,_Carlos"
"Alvarez, Fermin María","http://imslp.org /wiki/Category:Alvarez,_Fermin_Mar%C3%ADa"
"Alyabyev, Aleksandr","http://imslp.org /wiki/Category:Alyabyev,_Aleksandr"
"Amadeo, Gaetano","http://imslp.org /wiki/Category:Amadeo,_Gaetano"
"Amalia, Anna","http://imslp.org /wiki/Category:Amalia,_Anna"
"Amani, Nikolay","http://imslp.org /wiki/Category:Amani,_Nikolay"
"Amberg, Johan","http://imslp.org /wiki/Category:Amberg,_Johan"
"D'Ambrosio, Alfredo","http://imslp.org /wiki/Category:D%27Ambrosio,_Alfredo"
"Ammon, Blasius","http://imslp.org /wiki/Category:Ammon,_Blasius"
"Amon, Johann Andreas","http://imslp.org /wiki/Category:Amon,_Johann_Andreas"
"Anchorena, Emilio Vicente","http://imslp.org /wiki/Category:Anchorena,_Emilio_Vicente"
"Ancliffe, Charles","http://imslp.org /wiki/Category:Ancliffe,_Charles"
"Andersen, Arthur Olaf","http://imslp.org /wiki/Category:Andersen,_Arthur_Olaf"
"Andersen, Joachim","http://imslp.org /wiki/Category:Andersen,_Joachim"
"Andersen-Wingar, Alfred","http://imslp.org /wiki/Category:Andersen-Wingar,_Alfred"
"Anderson, George","http://imslp.org /wiki/Category:Anderson,_George"
"Anderssen","http://imslp.org /wiki/Category:Anderssen"
"Andersson, Richard","http://imslp.org /wiki/Category:Andersson,_Richard"
"Andlauer, Louis Marie François","http://imslp.org /wiki/Category:Andlauer,_Louis_Marie_Fran%C3%A7ois"
"André, Johann","http://imslp.org /wiki/Category:Andr%C3%A9,_Johann"
"André, Johann Anton","http://imslp.org /wiki/Category:Andr%C3%A9,_Johann_Anton"
"André, José","http://imslp.org /wiki/Category:Andr%C3%A9,_Jos%C3%A9"
"D'Andrea, Giovanni","http://imslp.org /wiki/Category:D%27Andrea,_Giovanni"
"Andreae, Volkmar","http://imslp.org /wiki/Category:Andreae,_Volkmar"
"Andreasyan, Artem","http://imslp.org /wiki/Category:Andreasyan,_Artem"
"Andrée, Elfrida","http://imslp.org /wiki/Category:Andr%C3%A9e,_Elfrida"
"Andrews, Mark","http://imslp.org /wiki/Category:Andrews,_Mark"
"Andriessen, Hendrik","http://imslp.org /wiki/Category:Andriessen,_Hendrik"
"Anerio, Felice","http://imslp.org /wiki/Category:Anerio,_Felice"
